Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language
Burnham Road Sewer Pumping Station Rehabilitation Project,Burnham,250000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $250,000 shall be expended for the city of Methuen to complete an engineering assessment for the Burnham road sewer pumping station, a 40-year-old facility in need of urgent repairs to prevent an infrastructure failure that would cause significant combined sewer overflows into the Merrimack river and dangerous sewage back-ups in several hundred homes"
Businesses Assistance in Wellesley,Wellesley,50000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended to the Wellesley Town Merchants to support and enhance local programming designed to help local businesses impacted by the 2019 novel coronavirus"
Cabral Center for Leadership & Innovation,Boston,100000,EOE - Executive Office Of Education,Joanne.M.Puopolo@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended to the Cabral Center for Leadership & Innovation"
Cambodia Town Archway in Lowell,Lowell,200000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $200,000 shall be expended for the installation of an entry archway to Cambodia Town in Lowell to increase cultural and visitation interest"
Cambridge Economic Opportunity Committee,Chelsea,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70022023,"provided further, that not less than $50,000 shall be expended for the Cambridge Economic Opportunity Committee, Inc. in the city of Cambridge"
Cambridge Nonprofit Coalition,Cambridge,50000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $50,000 shall be expended to the Cambridge Nonprofit Coalition in the city of Cambridge"
Camp Avoda in Middleborough,Middleborough,50000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,70100015,"provided further, that not less than $50,000 shall be expended for Camp Avoda located in the town of Middleborough for capital improvements and water system upgrades"
Camp Grossman,Newton,41000,DCF - Department Of Children And Families,emily.hajjar@mass.gov,70100013,"provided further, that $41,000 shall be expended to JCC Greater Boston for capital improvements at Camp Grossman"
Canal Wall Repair and ADA Enhancements at Lower Locks,Lowell,75000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $75,000 shall be expended for the first phase of the Lowell Lower Locks master plan to repair canal walls and ADA access enhancements"
Canton Community Paramedic,Canton,173000,DPH - Department Of Public Health,robert.w.oliver2@mass.gov,45130101,"provided further, that not less than $173,000 shall be expended for a community paramedic in the town of Canton"
"Canton Helpline Food Pantry, Inc.",Canton,5000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,(c) Canton Helpline food pantry
Canton PFAS Remediation,Canton,125000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided, that not less than $125,000 shall be expended for a per- and polyfluoroalkyl substances water treatment system for the town of Canton"
Cape Cod Canal Region Chamber of Commerce,Buzzards Bay,100000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended to the Cape Cod Canal Region Chamber of Commerce, Inc. to replace the roof and repair support structures of the chamber office and visitor center located in Buzzards Bay"
Cape Cod Commission Study on Housing Development,Cape Cod,250000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $250,000 shall be made available to and expended by the Cape Cod Commission to identify properties in the country of Barnstable for potential housing development; provided further, that the commission shall consult and partner with municipalities in the county of Barnstable; provided further, that the commission shall establish a process for compiling and disseminating requests for proposals for the development of identified properties; provided further, that the commission shall publish and maintain an index of request for proposals on its website"
Cape Cod Young Professionals Civic Engagement and Workforce Development,Cape Cod,80000,LWD - Executive Office Of Labor And Workforce Development,sheila.l.tunney2@mass.gov,70030102,"provided further, that not less than $80,000 shall be expended for Cape Cod Young Professionals, LLC for civic engagement and workforce development initiatives"
Cape Verdean Association of Brockton,Brockton,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for staffing at the Cape Verdean Association of Brockton"
Cape Verdean Cultural Center in the City of Boston,Boston,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for establishing a Cape Verdean Cultural Center in the city of Boston, including, but not limited to, the creation of a nonprofit organization to oversee the construction and management of the cultural center"
Career and Technical Training at Weymouth High School,Weymouth,100000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended for materials for career and technical training within the career and technical education programs at Weymouth high school"
Caribbean Integration Community Development,Boston,50000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $50,000 shall be expended to Caribbean Integration Community Development, Inc."
Carlisle Castle Playground,Carlisle,150000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,70100013,"provided, that not less than $150,000 shall be expended for the Carlisle parent-teacher organization for the design and construction of the Carlisle Castle Playground Project"
Carroll Center for the Blind,Newton,100000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that $100,000 shall be expended to the Carroll Center for the Blind, Inc. for technology-related capital expenditures"
Carver Additional Affordable Housing Units,Carver,50000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $50,000 shall be expended for the town of Carver for the construction of additional affordable housing units"
Casserly House in Roslindale,Boston,50000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $50,000 shall be expended for the Casserly House in the Roslindale section of the city of Boston to assist with the transition of immigrants and refugees into the community"
CCB Foundation in Gloucester,Gloucester,50000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $50,000 shall be expended for CCB Foundation, Inc. for a mentorship program for persons in recovery"
